country_code,country,region
NLD,Netherlands,Europe
NCL,New Caledonia,Oceania
NZL,New Zealand,Oceania
NIC,Nicaragua,Americas
NER,Niger,Africa
NGA,Nigeria,Africa
NIU,Niue,Oceania
NFK,Norfolk Island,Oceania
MKD,North Macedonia,Europe
MNP,Northern Mariana Islands,Oceania
NOR,Norway,Europe
OMN,Oman,Asia
PAK,Pakistan,Asia
PLW,Palau,Oceania
PSE,"Palestine, State of",Asia
PAN,Panama,Americas
PNG,Papua New Guinea,Oceania
PRY,Paraguay,Americas
PER,Peru,Americas
PHL,Philippines,Asia
PCN,Pitcairn,Oceania
POL,Poland,Europe
PRT,Portugal,Europe
PRI,Puerto Rico,Americas
QAT,Qatar,Asia
REU,Réunion,Africa
ROU,Romania,Europe
RUS,Russia,Europe
RWA,Rwanda,Africa
BLM,Saint Barthélemy,Americas
SHN,"Saint Helena, Ascension and Tristan da Cunha",Africa
KNA,Saint Kitts and Nevis,Americas
LCA,Saint Lucia,Americas
MAF,Saint Martin (French part),Americas
SPM,Saint Pierre and Miquelon,Americas
VCT,Saint Vincent and the Grenadines,Americas
WSM,Samoa,Oceania
SMR,San Marino,Europe
STP,Sao Tome and Principe,Africa
SAU,Saudi Arabia,Asia
SEN,Senegal,Africa
SRB,Serbia,Europe
SYC,Seychelles,Africa
SLE,Sierra Leone,Africa
SGP,Singapore,Asia
SXM,Sint Maarten (Dutch part),Americas
SVK,Slovakia,Europe
SVN,Slovenia,Europe
SLB,Solomon Islands,Oceania
SOM,Somalia,Africa
ZAF,South Africa,Africa
SGS,South Georgia and the South Sandwich Islands,Americas
SSD,South Sudan,Africa
ESP,Spain,Europe
LKA,Sri Lanka,Asia
SDN,Sudan,Africa
SUR,Suriname,Americas
SJM,Svalbard and Jan Mayen,Europe
SWE,Sweden,Europe
CHE,Switzerland,Europe
SYR,Syrian Arab Republic,Asia
TWN,"Taiwan, Province of China",Asia
TJK,Tajikistan,Asia
TZA,"Tanzania, United Republic of",Africa
THA,Thailand,Asia
TLS,Timor-Leste,Asia
TGO,Togo,Africa
TKL,Tokelau,Oceania
TON,Tonga,Oceania
TTO,Trinidad and Tobago,Americas
TUN,Tunisia,Africa
TUR,Turkey,Asia
TKM,Turkmenistan,Asia
TCA,Turks and Caicos Islands,Americas
TUV,Tuvalu,Oceania
UGA,Uganda,Africa
UKR,Ukraine,Europe
ARE,United Arab Emirates,Asia
GBR,United Kingdom,Europe
USA,United States,Americas
UMI,United States Minor Outlying Islands,Oceania
URY,Uruguay,Americas
UZB,Uzbekistan,Asia
VUT,Vanuatu,Oceania
VEN,Venezuela (Bolivarian Republic of),Americas
VNM,Viet Nam,Asia
VGB,British Virgin Islands,Americas
VIR,Virgin Islands (U.S.),Americas
WLF,Wallis and Futuna,Oceania
ESH,Western Sahara,Africa
YEM,Yemen,Asia
ZMB,Zambia,Africa
ZWE,Zimbabwe,Africa
